ID,SpeciesLevel,SpeciesCount,BranchCount,BranchLeafCount,BranchInteriorCount,TreeDepth,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HasHomologuesSuspiciousRecords,HomologueCount,DatabaseNotExhausted
M01896:197:000000000-ANEHB:1:2110:26518:16723_CONS_SUB_SUB,True,1,1,0,1,10,1.0,1.0,1,0,False,8,False
MISEQ01:3:000000000-ALULJ:1:1110:26371:17360_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,50,False
M01896:197:000000000-ANEHB:1:1109:19588:23994_CONS_SUB_SUB_CMP,False,2,2,1,1,5,0.417,0.1,3,2,True,6,False
MISEQ01:3:000000000-ALULJ:1:2111:6292:18717_CONS_SUB_SUB_CMP,False,1,1,0,1,10,0.1,0.1,10,0,False,50,False
M00595:3:000000000-ALULJ:1:1112:16235:28352_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1105:18009:7152_CONS_SUB_SUB_CMP,True,1,1,0,1,11,1.0,1.0,1,0,False,50,False
M00595:3:000000000-ALULJ:1:1109:6500:9374_CONS_SUB_SUB,True,1,1,0,1,13,0.996,0.996,1,0,False,50,False
M01896:197:000000000-ANEHB:1:2107:22365:21034_CONS_SUB_SUB_CMP,False,6,6,2,4,11,0.143,0.071,3,3,True,6,True
M01896:197:000000000-ANEHB:1:1112:15590:3560_CONS_SUB_SUB,False,5,5,3,2,11,0.174,0.001,7,0,False,25,False
M00595:3:000000000-ALULJ:1:2101:20271:6175_CONS_SUB_SUB,True,1,1,0,1,8,1.0,1.0,3,3,True,6,False
M00595:3:000000000-ALULJ:1:2107:29266:13709_CONS_SUB_SUB,False,6,6,5,1,10,0.15,0.004,10,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2107:15681:25912_CONS_SUB_SUB_CMP,True,1,1,0,1,14,1.0,1.0,1,0,False,6,False
M00595:3:000000000-ALULJ:1:1101:8050:11816_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
M01896:197:000000000-ANEHB:1:2106:23303:25800_CONS_SUB_SUB_CMP,False,2,2,0,2,13,1.0,0.043,17,5,True,50,True
M01896:197:000000000-ANEHB:1:2111:19713:21246_CONS_SUB_SUB,False,3,3,2,1,5,0.884,0.001,29,3,True,50,False
M01896:197:000000000-ANEHB:1:2108:14459:12858_CONS_SUB_SUB,False,8,8,3,5,12,0.112,0.004,6,5,True,38,True
M00595:3:000000000-ALULJ:1:2109:24746:14152_CONS_SUB_SUB,False,2,2,1,1,3,0.852,0.076,2,0,False,6,True
M00595:3:000000000-ALULJ:1:2113:11850:20918_CONS_SUB_SUB_CMP,False,1,1,0,1,8,0.076,0.076,1,0,False,10,False
M00595:3:000000000-ALULJ:1:2110:21064:27430_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2111:23170:24601_CONS_SUB_SUB,False,3,3,1,2,13,0.854,0.005,3,0,False,27,True
M00595:3:000000000-ALULJ:1:2109:13153:22026_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,22,False
M00595:3:000000000-ALULJ:1:2113:3474:20467_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1110:13656:10248_CONS_SUB_SUB,False,3,3,2,1,3,0.264,0.098,15,1,True,50,True
M00595:3:000000000-ALULJ:1:1103:15406:5785_CONS_SUB_SUB,False,2,2,1,1,12,0.886,0.002,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1112:12416:6489_CONS_SUB_SUB,False,1,1,0,1,11,0.453,0.453,3,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1112:5836:15252_CONS_SUB_SUB_CMP,False,4,4,3,1,10,0.163,0.134,26,0,False,50,False
M01896:197:000000000-ANEHB:1:1107:7857:19678_CONS_SUB_SUB,False,1,1,0,1,12,0.873,0.873,12,3,True,50,False
MISEQ01:3:000000000-ALULJ:1:2106:25814:8421_CONS_SUB_SUB,False,1,1,0,1,4,1.0,1.0,1,0,False,13,False
MISEQ01:3:000000000-ALULJ:1:1106:10023:8896_CONS_SUB_SUB,False,1,1,0,1,11,0.735,0.735,1,0,False,50,False
M00595:3:000000000-ALULJ:1:2112:18447:23567_CONS_SUB_SUB,False,1,1,0,1,12,0.001,0.001,3,1,True,28,False
M01896:197:000000000-ANEHB:1:2105:6733:7199_CONS_SUB_SUB_CMP,True,3,3,0,3,13,0.982,0.001,1,0,False,26,False
M01896:197:000000000-ANEHB:1:1105:12564:28842_CONS_SUB_SUB,False,2,2,1,1,13,0.631,0.226,2,0,False,8,False
M00595:3:000000000-ALULJ:1:2109:16838:13534_CONS_SUB_SUB,False,6,6,1,5,11,0.213,0.058,3,3,True,6,True
M01896:197:000000000-ANEHB:1:1110:22048:15817_CONS_SUB_SUB_CMP,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1107:8473:12261_CONS_SUB_SUB_CMP,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
M01896:197:000000000-ANEHB:1:2110:5208:19828_CONS_SUB_SUB,False,4,4,3,1,3,0.19,0.015,3,0,False,36,True
MISEQ01:3:000000000-ALULJ:1:1109:9735:20153_CONS_SUB_SUB,False,3,3,0,3,4,0.957,0.004,12,1,True,50,True
M01896:197:000000000-ANEHB:1:1110:10766:3025_CONS_SUB_SUB_CMP,False,3,3,1,2,11,0.831,0.008,1,0,False,45,False
M01896:197:000000000-ANEHB:1:1109:18349:26666_CONS_SUB_SUB_CMP,False,3,3,1,2,11,0.338,0.003,15,1,True,46,False
M00595:3:000000000-ALULJ:1:2101:14508:22678_CONS_SUB_SUB,True,1,1,0,1,10,0.987,0.987,1,0,False,17,True
M01896:197:000000000-ANEHB:1:2104:12085:21234_CONS_SUB_SUB_CMP,False,3,3,0,3,11,0.005,0.002,2,1,True,50,False
MISEQ01:3:000000000-ALULJ:1:1111:8543:13134_CONS_SUB_SUB,True,1,1,0,1,11,0.99,0.99,1,0,False,46,False
M01896:197:000000000-ANEHB:1:2109:22495:27218_CONS_SUB_SUB_CMP,False,11,11,8,3,13,0.058,0.019,11,0,False,40,False
M01896:197:000000000-ANEHB:1:2104:11323:21712_CONS_SUB_SUB_CMP,False,1,1,0,1,8,0.013,0.013,3,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1106:10565:6895_CONS_SUB_SUB,False,2,2,0,2,11,0.236,0.002,3,2,True,6,False
MISEQ01:3:000000000-ALULJ:1:1109:20333:3742_CONS_SUB_SUB,False,4,4,1,3,11,0.212,0.003,3,2,True,6,False
M00595:3:000000000-ALULJ:1:2111:21551:26995_CONS_SUB_SUB_CMP,True,1,1,0,1,10,1.0,1.0,1,0,False,45,False
MISEQ01:3:000000000-ALULJ:1:2105:13021:13000_CONS_SUB_SUB,False,7,7,2,5,13,1.0,0.001,6,1,True,11,True
M00595:3:000000000-ALULJ:1:1103:18252:2342_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1102:16042:28661_CONS_SUB_SUB,False,4,4,0,4,10,1.0,0.001,1,0,False,37,False
M00595:3:000000000-ALULJ:1:1110:5966:7257_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:2103:18115:28120_CONS_SUB_SUB,True,1,1,0,1,10,1.0,1.0,1,0,False,44,False
M01896:197:000000000-ANEHB:1:1112:16339:26363_CONS_SUB_SUB_CMP,False,2,2,1,1,11,0.277,0.112,8,3,True,22,False
M01896:197:000000000-ANEHB:1:2101:20228:15594_CONS_SUB_SUB,True,1,1,0,1,9,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1112:19338:11134_CONS_SUB_SUB,False,1,1,0,1,10,0.214,0.214,2,1,True,6,False
MISEQ01:3:000000000-ALULJ:1:2103:24068:15434_CONS_SUB_SUB,False,4,4,1,3,11,0.272,0.02,3,3,True,6,False
M00595:3:000000000-ALULJ:1:1105:21940:23562_CONS_SUB_SUB_CMP,False,3,3,1,2,10,0.726,0.028,1,0,False,48,True
M01896:197:000000000-ANEHB:1:2105:10594:4653_CONS_SUB_SUB_CMP,False,3,3,2,1,8,0.955,0.003,1,0,False,6,True
M01896:197:000000000-ANEHB:1:2104:16807:5263_CONS_SUB_SUB,False,4,4,3,1,3,0.275,0.02,5,0,False,50,True
MISEQ01:3:000000000-ALULJ:1:1109:9722:3664_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:2101:28654:15588_CONS_SUB_SUB_CMP,False,2,2,1,1,12,0.195,0.001,16,5,True,50,False
MISEQ01:3:000000000-ALULJ:1:1102:22348:10046_CONS_SUB_SUB,False,2,2,1,1,10,0.898,0.059,5,0,False,36,False
M01896:197:000000000-ANEHB:1:1108:21083:22439_CONS_SUB_SUB,False,3,3,2,1,11,0.422,0.009,2,0,False,29,False
M00595:3:000000000-ALULJ:1:1106:29254:14571_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1105:5613:14365_CONS_SUB_SUB,False,7,7,6,1,10,0.094,0.001,5,0,False,14,False
M00595:3:000000000-ALULJ:1:1108:4777:18807_CONS_SUB_SUB_CMP,False,2,2,1,1,13,0.198,0.197,2,0,False,6,False
M00595:3:000000000-ALULJ:1:1109:21115:8727_CONS_SUB_SUB,True,2,2,0,2,12,0.989,0.001,4,3,True,6,False
M00595:3:000000000-ALULJ:1:1102:8762:22004_CONS_SUB_SUB_CMP,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1112:2096:13004_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
M00595:3:000000000-ALULJ:1:1109:22701:23846_CONS_SUB_SUB,False,7,7,1,6,4,1.0,0.001,2,0,False,50,True
M00595:3:000000000-ALULJ:1:2106:21952:11883_CONS_SUB_SUB,True,2,2,0,2,13,0.994,0.003,1,0,False,50,False
M00595:3:000000000-ALULJ:1:2109:19722:23737_CONS_SUB_SUB_CMP,False,4,4,1,3,12,0.041,0.001,2,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1108:20725:3298_CONS_SUB_SUB,False,2,2,1,1,11,0.47,0.245,2,1,True,16,False
M01896:197:000000000-ANEHB:1:1109:14293:20369_CONS_SUB_SUB,True,2,2,0,2,13,0.995,0.001,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2110:16549:22601_CONS_SUB_SUB_CMP,False,2,2,1,1,10,0.633,0.164,5,2,True,39,False
M00595:3:000000000-ALULJ:1:2103:21513:9835_CONS_SUB_SUB,False,1,1,0,1,11,0.922,0.922,1,0,False,36,False
M00595:3:000000000-ALULJ:1:1110:5153:6176_CONS_SUB_SUB,False,4,4,1,3,11,0.146,0.085,3,3,True,6,False
MISEQ01:3:000000000-ALULJ:1:1103:27420:10969_CONS_SUB_SUB,False,5,5,3,2,14,0.01,0.003,7,1,True,50,False
M01896:197:000000000-ANEHB:1:1111:22178:10174_CONS_SUB_SUB_CMP,False,2,2,0,2,11,0.006,0.005,8,2,True,50,False
M01896:197:000000000-ANEHB:1:1114:15078:23482_CONS_SUB_SUB_CMP,False,3,3,2,1,10,0.017,0.001,5,1,True,35,False
M00595:3:000000000-ALULJ:1:2108:11364:26907_CONS_SUB_SUB_CMP,False,2,2,1,1,4,0.622,0.069,50,0,False,50,True
M01896:197:000000000-ANEHB:1:2106:11363:22442_CONS_SUB_SUB_CMP,False,3,3,1,2,11,0.241,0.012,8,2,True,50,False
M01896:197:000000000-ANEHB:1:2111:28940:18571_CONS_SUB_SUB,False,2,2,1,1,11,0.468,0.317,2,0,False,24,False
MISEQ01:3:000000000-ALULJ:1:1106:13406:24571_CONS_SUB_SUB,False,4,4,1,3,11,0.411,0.008,3,2,True,6,True
MISEQ01:3:000000000-ALULJ:1:1105:17716:27119_CONS_SUB_SUB_CMP,False,2,2,0,2,14,0.348,0.322,2,2,True,6,False
M00595:3:000000000-ALULJ:1:1106:15134:18831_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1101:2885:13739_CONS_SUB_SUB_CMP,False,3,3,2,1,10,0.184,0.001,5,2,True,24,False
M01896:197:000000000-ANEHB:1:1110:5505:15489_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2101:7489:16295_CONS_SUB_SUB_CMP,True,1,1,0,1,14,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2104:21764:11641_CONS_SUB_SUB_CMP,True,1,1,0,1,13,0.998,0.998,1,0,False,18,False
M00595:3:000000000-ALULJ:1:2113:7413:20570_CONS_SUB_SUB,False,2,2,1,1,13,0.831,0.085,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1103:3723:9029_CONS_SUB_SUB_CMP,False,5,5,4,1,13,0.004,0.001,5,0,False,17,False
M00595:3:000000000-ALULJ:1:2104:17762:28088_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,34,False
M00595:3:000000000-ALULJ:1:1114:18834:11340_CONS_SUB_SUB,True,2,2,1,1,10,0.998,0.002,16,7,True,50,False
M01896:197:000000000-ANEHB:1:2107:15779:23509_CONS_SUB_SUB,False,2,2,1,1,12,0.001,0.001,4,1,True,36,False
M00595:3:000000000-ALULJ:1:2109:26492:23996_CONS_SUB_SUB,False,2,2,0,2,11,0.916,0.032,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1108:3066:10627_CONS_SUB_SUB_CMP,True,1,1,0,1,13,1.0,1.0,1,0,False,23,False
M01896:197:000000000-ANEHB:1:2101:14245:13303_CONS_SUB_SUB,False,2,2,1,1,9,0.352,0.308,8,0,False,50,False
M00595:3:000000000-ALULJ:1:2109:13678:24076_CONS_SUB_SUB,True,1,1,0,1,8,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:1109:15201:26914_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,50,False
M01896:197:000000000-ANEHB:1:1110:7052:13492_CONS_SUB_SUB,False,2,2,1,1,13,0.841,0.026,4,0,False,50,False
M00595:3:000000000-ALULJ:1:2111:4226:12282_CONS_SUB_SUB,False,4,4,1,3,10,0.811,0.001,2,0,False,46,False
M01896:197:000000000-ANEHB:1:1109:10301:15571_CONS_SUB_SUB_CMP,False,2,2,1,1,11,0.655,0.167,4,0,False,50,False
M00595:3:000000000-ALULJ:1:1103:8208:3713_CONS_SUB_SUB,True,1,1,0,1,11,0.996,0.996,7,0,False,37,False
M01896:197:000000000-ANEHB:1:2112:17083:12483_CONS_SUB_SUB,False,4,4,0,4,11,0.996,0.001,6,0,False,43,False
MISEQ01:3:000000000-ALULJ:1:1106:12559:14774_CONS_SUB_SUB_CMP,False,2,2,1,1,13,0.336,0.317,2,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2110:28111:20530_CONS_SUB_SUB,False,3,3,2,1,10,0.084,0.071,6,0,False,48,False
M01896:197:000000000-ANEHB:1:1105:3742:9110_CONS_SUB_SUB_CMP,False,2,2,1,1,11,0.304,0.303,2,0,False,17,False
M01896:197:000000000-ANEHB:1:1107:8644:17074_CONS_SUB_SUB,True,2,2,1,1,11,0.956,0.015,2,0,False,9,False
M00595:3:000000000-ALULJ:1:1109:16835:2185_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,25,False
M00595:3:000000000-ALULJ:1:1111:7594:21160_CONS_SUB_SUB,False,4,4,1,3,13,1.0,0.008,2,1,True,7,False
MISEQ01:3:000000000-ALULJ:1:1103:16888:28308_CONS_SUB_SUB,True,1,1,0,1,12,0.98,0.98,1,0,False,8,False
M01896:197:000000000-ANEHB:1:1106:15829:24144_CONS_SUB_SUB,False,4,4,0,4,12,0.261,0.054,2,1,True,10,True
M01896:197:000000000-ANEHB:1:2101:24026:8388_CONS_SUB_SUB_CMP,True,1,1,0,1,9,1.0,1.0,1,0,False,50,False
M00595:3:000000000-ALULJ:1:2113:28235:14185_CONS_SUB_SUB_CMP,False,3,3,2,1,9,0.221,0.165,21,1,True,50,False
M00595:3:000000000-ALULJ:1:2108:23733:5675_CONS_SUB_SUB_CMP,True,1,1,0,1,10,0.994,0.994,1,0,False,9,False
M01896:197:000000000-ANEHB:1:2113:12731:11690_CONS_SUB_SUB,False,7,7,5,2,13,0.036,0.001,11,0,False,50,False
M01896:197:000000000-ANEHB:1:2110:10762:2432_CONS_SUB_SUB,True,1,1,0,1,9,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2111:21770:24087_CONS_SUB_SUB,False,3,3,2,1,11,0.456,0.017,3,0,False,7,False
MISEQ01:3:000000000-ALULJ:1:1114:15634:15536_CONS_SUB_SUB,True,1,1,0,1,10,1.0,1.0,1,0,False,50,False
M01896:197:000000000-ANEHB:1:1103:12781:26973_CONS_SUB_SUB,False,1,1,0,1,9,1.0,1.0,1,0,False,6,False
M00595:3:000000000-ALULJ:1:1113:16182:27862_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1110:18479:9229_CONS_SUB_SUB_CMP,False,5,5,3,2,14,0.022,0.007,5,0,False,37,False
MISEQ01:3:000000000-ALULJ:1:2104:18376:12255_CONS_SUB_SUB,False,1,1,0,1,5,0.931,0.931,8,4,True,50,True
M01896:197:000000000-ANEHB:1:2104:12963:22976_CONS_SUB_SUB_CMP,True,1,1,0,1,13,1.0,1.0,1,0,False,12,False
M01896:197:000000000-ANEHB:1:2108:12027:2307_CONS_SUB_SUB,True,2,2,0,2,11,1.0,0.999,1,0,False,8,False
M00595:3:000000000-ALULJ:1:1103:9003:26039_CONS_SUB_SUB,True,1,1,0,1,10,0.999,0.999,1,0,False,50,False
M01896:197:000000000-ANEHB:1:1106:25792:14156_CONS_SUB_SUB,False,2,2,1,1,9,0.3,0.268,7,2,True,39,False
MISEQ01:3:000000000-ALULJ:1:1111:11433:6481_CONS_SUB_SUB,False,1,1,0,1,11,0.3,0.3,1,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1106:23107:15719_CONS_SUB_SUB_CMP,True,1,1,0,1,11,0.999,0.999,1,0,False,8,False
MISEQ01:3:000000000-ALULJ:1:1105:12015:25110_CONS_SUB_SUB_CMP,False,3,3,2,1,12,0.865,0.002,2,1,True,6,False
M01896:197:000000000-ANEHB:1:2114:5791:20174_CONS_SUB_SUB,True,2,2,1,1,11,0.981,0.01,2,0,False,8,False
M01896:197:000000000-ANEHB:1:1111:18046:28578_CONS_SUB_SUB_CMP,False,2,2,1,1,10,0.476,0.073,25,6,True,50,False
MISEQ01:3:000000000-ALULJ:1:2108:11594:6122_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,14,False
M01896:197:000000000-ANEHB:1:1105:5721:16825_CONS_SUB_SUB_CMP,False,3,3,0,3,11,1.0,0.082,3,0,False,14,False
M01896:197:000000000-ANEHB:1:2101:11816:23483_CONS_SUB_SUB,False,2,2,0,2,4,0.36,0.28,2,0,False,43,True
M01896:197:000000000-ANEHB:1:1106:11753:20154_CONS_SUB_SUB_CMP,True,1,1,0,1,10,1.0,1.0,7,2,True,50,False
