ID,SpeciesLevel,SpeciesCount,BranchCount,BranchLeafCount,BranchInteriorCount,TreeDepth,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HasHomologuesSuspiciousRecords,HomologueCount,DatabaseNotExhausted
MISEQ01:3:000000000-ALULJ:1:2107:17410:25241_CONS_SUB_SUB,False,7,7,4,3,11,0.259,0.001,11,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:2104:16882:26552_CONS_SUB_SUB,False,3,3,2,1,5,0.772,0.001,4,2,True,15,False
MISEQ01:3:000000000-ALULJ:1:1111:4491:23529_CONS_SUB_SUB_CMP,False,2,2,1,1,12,0.645,0.204,4,2,True,50,False
M00595:3:000000000-ALULJ:1:2114:13744:11519_CONS_SUB_SUB,False,28,28,10,18,12,0.772,0.001,0,0,False,50,True
MISEQ01:3:000000000-ALULJ:1:1103:16888:28308_CONS_SUB_SUB,True,1,1,0,1,12,0.99,0.99,1,0,False,6,False
M00595:3:000000000-ALULJ:1:2112:22672:18684_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2111:21770:24087_CONS_SUB_SUB,False,3,3,2,1,11,0.315,0.123,3,0,False,10,False
M01896:197:000000000-ANEHB:1:2112:17083:12483_CONS_SUB_SUB,True,3,3,0,3,11,0.824,0.006,6,1,True,49,False
M01896:197:000000000-ANEHB:1:2114:1805:15069_CONS_SUB_SUB_CMP,True,1,1,0,1,11,1.0,1.0,1,0,False,37,False
M00595:3:000000000-ALULJ:1:2113:7413:20570_CONS_SUB_SUB,True,2,2,1,1,13,0.906,0.05,1,0,False,7,False
MISEQ01:3:000000000-ALULJ:1:2101:7489:16295_CONS_SUB_SUB_CMP,True,1,1,0,1,14,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1111:8603:15665_CONS_SUB_SUB,True,9,9,6,3,13,0.942,0.001,13,0,False,50,False
M01896:197:000000000-ANEHB:1:2108:12027:2307_CONS_SUB_SUB,False,2,2,1,1,11,0.452,0.232,2,0,False,10,False
M00595:3:000000000-ALULJ:1:1114:7220:15827_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,6,False
M00595:3:000000000-ALULJ:1:2114:11020:18888_CONS_SUB_SUB,True,2,2,0,2,13,0.999,0.001,1,0,False,16,False
M01896:197:000000000-ANEHB:1:1109:19588:23994_CONS_SUB_SUB_CMP,False,2,2,1,1,5,0.573,0.065,3,2,True,6,False
M01896:197:000000000-ANEHB:1:2110:10762:2432_CONS_SUB_SUB,False,1,1,0,1,9,0.312,0.312,6,1,True,11,False
M01896:197:000000000-ANEHB:1:1110:22181:20375_CONS_SUB_SUB_CMP,True,2,2,1,1,12,0.928,0.034,2,0,False,6,False
M00595:3:000000000-ALULJ:1:2112:8515:6905_CONS_SUB_SUB,False,4,4,3,1,9,0.18,0.006,4,0,False,50,False
M00595:3:000000000-ALULJ:1:1110:12070:25926_CONS_SUB_SUB,False,6,6,3,3,13,0.284,0.003,4,1,True,7,False
MISEQ01:3:000000000-ALULJ:1:1109:9722:3664_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2105:20206:4691_CONS_SUB_SUB,True,2,2,1,1,13,0.522,0.405,2,0,False,22,False
MISEQ01:3:000000000-ALULJ:1:1112:13434:18551_CONS_SUB_SUB,False,2,2,0,2,6,0.222,0.115,2,2,True,50,False
MISEQ01:3:000000000-ALULJ:1:2111:23170:24601_CONS_SUB_SUB,True,3,3,1,2,13,0.844,0.002,3,1,True,32,False
M01896:197:000000000-ANEHB:1:1109:11706:16960_CONS_SUB_SUB,True,2,2,1,1,13,0.93,0.046,2,0,False,9,False
M00595:3:000000000-ALULJ:1:2113:18698:18214_CONS_SUB_SUB,True,1,1,0,1,13,1.0,1.0,1,0,False,6,False
M01896:197:000000000-ANEHB:1:1103:12781:26973_CONS_SUB_SUB,True,1,1,0,1,7,1.0,1.0,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2110:20601:6944_CONS_SUB_SUB,True,1,1,0,1,11,0.983,0.983,1,0,False,50,False
M00595:3:000000000-ALULJ:1:2109:26492:23996_CONS_SUB_SUB,True,2,2,0,2,11,0.928,0.027,1,0,False,6,False
M01896:197:000000000-ANEHB:1:2113:12731:11690_CONS_SUB_SUB,False,6,6,4,2,13,0.017,0.001,13,0,False,50,False
M00595:3:000000000-ALULJ:1:1110:8602:18425_CONS_SUB_SUB,True,1,1,0,1,11,0.999,0.999,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2102:13851:23625_CONS_SUB_SUB,True,2,2,0,2,10,0.996,0.002,1,0,False,6,False
