"OTU_SEQID","NCBI_TAXID","species","genus","family","order","class","phylum","kingdom","TOTAL","Sample","I","J","K","L","F","M","N","G","H","D","superorder","subclass","subphylum","superkingdom","suborder","infraclass","superclass","subspecies","superfamily","infraorder","tribe","subfamily"
"MISEQ01:208:000000000-BFL3R:1:1101:15680:2799_CONS_SUB_SUB",303945,"Rhizoprionodon terraenovae","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",3043,0,25,25,1546,0,434,1,2,506,504,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:13337:3526_CONS_SUB_SUB",180523,"Siphateles bicolor","Siphateles","Cyprinidae","Cypriniformes","Actinopteri","Chordata","Metazoa",688,0,0,2,0,0,0,323,356,4,2,1,"Cypriniphysae","Neopterygii","Craniata","Eukaryota",NA,"Teleostei","Actinopterygii","Siphateles bicolor mohavensis","Cyprinoidea",NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:16328:2805_CONS_SUB_SUB",303685,"Balistes capriscus","Balistes","Balistidae","Tetraodontiformes","Actinopteri","Chordata","Metazoa",592,0,0,1,0,0,0,0,382,2,0,207,NA,"Neopterygii","Craniata","Eukaryota",NA,"Teleostei","Actinopterygii",NA,"Balistoidea",NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:13178:2824_CONS_SUB_SUB",61865,"Carcharhinus limbatus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",299,0,3,0,41,0,230,0,0,1,24,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:15905:2827_CONS_SUB_SUB",7808,"Carcharhinus plumbeus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",126,0,1,0,0,0,123,0,0,0,2,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:17007:2008_CONS_SUB_SUB",168759,"Nanomia bijuga","Nanomia","Agalmatidae","Siphonophorae","Hydrozoa","Cnidaria","Metazoa",7,0,0,0,0,0,0,7,0,0,0,0,NA,"Hydroidolina",NA,"Eukaryota","Physonectae",NA,NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:10387:3442_CONS_SUB_SUB",1343680,"Narcine bancroftii","Narcine","Narcinidae","Torpediniformes","Chondrichthyes","Chordata","Metazoa",6,0,0,0,0,0,0,6,0,0,0,0,"Batoidea","Elasmobranchii","Craniata","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:13753:2722_CONS_SUB_SUB",8236,"Thunnus albacares","Thunnus","Scombridae","Scombriformes","Actinopteri","Chordata","Metazoa",3,0,0,0,0,0,1,0,0,0,2,0,NA,"Neopterygii","Craniata","Eukaryota",NA,"Teleostei","Actinopterygii",NA,NA,NA,"Thunnini","Scombrinae"
"MISEQ01:208:000000000-BFL3R:1:1101:18589:3476_CONS_SUB_SUB",40496,"Lutjanus synagris","Lutjanus","Lutjanidae","","Actinopteri","Chordata","Metazoa",3,0,0,0,0,0,0,0,0,0,0,3,NA,"Neopterygii","Craniata","Eukaryota",NA,"Teleostei","Actinopterygii",NA,NA,NA,NA,"Lutjaninae"
"MISEQ01:208:000000000-BFL3R:1:1101:12495:2478_CONS_SUB_SUB",311544,"Caligus centrodonti","Caligus","Caligidae","Siphonostomatoida","Maxillopoda","Arthropoda","Metazoa",2,0,0,0,0,0,2,0,0,0,0,0,"Podoplea","Copepoda","Crustacea","Eukaryota",NA,"Neocopepoda",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:11294:2530_CONS_SUB_SUB_CMP",75286,"Ariopsis felis","Ariopsis","Ariidae","Siluriformes","Actinopteri","Chordata","Metazoa",1,0,0,0,1,0,0,0,0,0,0,0,"Characiphysae","Neopterygii","Craniata","Eukaryota","Siluroidei","Teleostei","Actinopterygii",NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:11427:2261_CONS_SUB_SUB",180523,"Siphateles bicolor","Siphateles","Cyprinidae","Cypriniformes","Actinopteri","Chordata","Metazoa",1,0,0,0,0,0,0,0,1,0,0,0,"Cypriniphysae","Neopterygii","Craniata","Eukaryota",NA,"Teleostei","Actinopterygii","Siphateles bicolor mohavensis","Cyprinoidea",NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:11808:2672_CONS_SUB_SUB_CMP",7808,"Carcharhinus plumbeus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",1,0,0,0,0,0,1,0,0,0,0,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:12635:2284_CONS_SUB_SUB",1173526,"Chloeia viridis","Chloeia","Amphinomidae","Eunicida","Polychaeta","Annelida","Metazoa",1,0,0,0,0,0,0,1,0,0,0,0,NA,"Palpata",NA,"Eukaryota",NA,"Aciculata",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:13079:2815_CONS_SUB_SUB",372818,"Achelous gibbesii","Achelous","Portunidae","Decapoda","Malacostraca","Arthropoda","Metazoa",1,0,0,1,0,0,0,0,0,0,0,0,"Eucarida","Eumalacostraca","Crustacea","Eukaryota","Pleocyemata",NA,NA,NA,"Portunoidea","Brachyura",NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:13199:2598_CONS_SUB_SUB",1311548,"Fowlerichthys radiosus","Fowlerichthys","Antennariidae","Lophiiformes","Actinopteri","Chordata","Metazoa",1,0,0,0,0,0,0,0,0,0,0,1,NA,"Neopterygii","Craniata","Eukaryota","Antennarioidei","Teleostei","Actinopterygii",NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:13568:3350_CONS_SUB_SUB",303685,"Balistes capriscus","Balistes","Balistidae","Tetraodontiformes","Actinopteri","Chordata","Metazoa",1,0,0,0,0,0,0,0,0,0,0,1,NA,"Neopterygii","Craniata","Eukaryota",NA,"Teleostei","Actinopterygii",NA,"Balistoidea",NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:15165:3282_CONS_SUB_SUB",370612,"Illex cf. illecebrosus DBC-2006","Illex","Ommastrephidae","Teuthida","Cephalopoda","Mollusca","Metazoa",1,0,0,0,0,0,0,0,0,0,0,1,"Decapodiformes","Coleoidea",NA,"Eukaryota","Oegopsina","Neocoleoidea",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:15276:3128_CONS_SUB_SUB",587731,"Rhizoprionodon lalandii","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",1,0,0,0,0,0,0,0,0,1,0,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:16371:3224_CONS_SUB_SUB",13677,"Scomber scombrus","Scomber","Scombridae","Scombriformes","Actinopteri","Chordata","Metazoa",1,0,0,0,1,0,0,0,0,0,0,0,NA,"Neopterygii","Craniata","Eukaryota",NA,"Teleostei","Actinopterygii",NA,NA,NA,"Scombrini","Scombrinae"
"MISEQ01:208:000000000-BFL3R:1:1101:18026:2560_CONS_SUB_SUB",61865,"Carcharhinus limbatus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",1,0,0,0,0,0,1,0,0,0,0,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:19198:1838_CONS_SUB_SUB",36987,"Coptotermes formosanus","Coptotermes","Rhinotermitidae","Blattodea","Insecta","Arthropoda","Metazoa",1,0,0,0,0,0,0,0,0,0,1,0,"Dictyoptera","Neoptera",NA,"Eukaryota",NA,"Orthopteroidea","Hexapoda",NA,"Blattoidea",NA,NA,"Coptotermitinae"
"MISEQ01:208:000000000-BFL3R:1:1101:19550:2621_CONS_SUB_SUB",46612,"Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",1,0,0,0,1,0,0,0,0,0,0,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:20137:2410_CONS_SUB_SUB_CMP",1226401,"Saurida brasiliensis","Saurida","Synodontidae","Aulopiformes","Actinopteri","Chordata","Metazoa",1,0,0,0,0,0,0,1,0,0,0,0,NA,"Neopterygii","Craniata","Eukaryota","Aulopoidei","Teleostei","Actinopterygii",NA,NA,NA,NA,"Harpadontinae"
"MISEQ01:208:000000000-BFL3R:1:1101:21175:2702_CONS_SUB_SUB",578969,"Nesippus orientalis","Nesippus","Pandaridae","Siphonostomatoida","Maxillopoda","Arthropoda","Metazoa",1,0,0,0,0,0,1,0,0,0,0,0,"Podoplea","Copepoda","Crustacea","Eukaryota",NA,"Neocopepoda",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:21633:3574_CONS_SUB_SUB",303685,"Balistes capriscus","Balistes","Balistidae","Tetraodontiformes","Actinopteri","Chordata","Metazoa",1,0,0,0,0,0,0,0,1,0,0,0,NA,"Neopterygii","Craniata","Eukaryota",NA,"Teleostei","Actinopterygii",NA,"Balistoidea",NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:8465:3590_CONS_SUB_SUB",303945,"Rhizoprionodon terraenovae","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",1,0,0,0,0,0,0,0,0,1,0,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:8705:3498_CONS_SUB_SUB",7823,"Sphyrna lewini","Sphyrna","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",1,0,0,0,0,0,0,0,0,0,1,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
"MISEQ01:208:000000000-BFL3R:1:1101:9077:3231_CONS_SUB_SUB",303945,"Rhizoprionodon terraenovae","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Chondrichthyes","Chordata","Metazoa",1,0,0,0,0,0,0,0,0,1,0,0,"Galeoidea","Elasmobranchii","Craniata","Eukaryota",NA,"Selachii",NA,NA,NA,NA,NA,NA
